0,1,2,3,4
66,0.2875,,not incel,monkey' better smarter her!
67,0,,incel,BS - coward congress - upper offic militari coward BS word
68,-1,,incel,"dotti stough know, ca not fix stupid!!"
69,-0.1,,not incel,everybodi vote pleas ask paper ballot wear red
70,0.142857143,,not incel,right. they look 15 year ago talk happen bill clinton. typic republican logic.
71,-0.01875,,not incel,keep uati nation america. violat rights. grab gun america.
72,0.022207792,,incel,click bait bullshit
73,0.068181818,,not incel,come get new clinton circl email huma miss she went back muslim sisterhood saudi arabia
74,0,,not incel,"how stop her, articl topic asks? We vote trump 2016."
75,0,,not incel,1984.....
76,0,,not incel,"yes, trump presid trump!"
77,0,,not incel,she delusional.
78,0,,not incel,rebecca mornay?
79,-0.1,,not incel,"just curious, break news"
80,0,,not incel,[[photo]]
81,0,,not incel,kenneth bayless
82,0,,not incel,Is whoopie?????
83,0,,not incel,lock up!
84,0.25,,not incel,way better get stolen kill get away feloni [[photo]]
85,0,,not incel,eric danley
86,-0.016741071,,not incel,I know mean! you'r right!
87,0,,not incel,emmi johnson
88,0,,not incel,[[photo]]
89,0,,not incel,look like drug
90,0.112857143,,not incel,"yes, say true, everywher forever, stand anymore, backlash damned."
91,-0.125,,not incel,"get back jail, bombshel get tiresome, manag get away everyth far."
92,0,,not incel,got call BS http://www.snopes.com/marian-robinson-pension/
93,0,,not incel,[[photo]]
94,0,,not incel,our prayer answered.
95,0.083333333,,not incel,"A thousand ""yes""."
96,0,,not incel,keith lindsey
97,0.4,,not incel,We elect pope. He public offic like hillari was.
98,0,,not incel,guy need get diamond silk make beauti music! https://www.youtube.com/watch?v=dagvq3zgwfg
99,0,,not incel,"I guess speak then. It seem know ourselves. I fianc??, i'v never spoken woman way trump has. If rais digniti respect, know things, go show standard ???????? I find disgust defend him. trump could disembowel babi front tower would still yell ""well, get anyon kill benghazi!"" Is behavior like son emul women? or, truli daughter someday meet? god I hope child hallow head yours."
100,0,,not incel,shannon lee prokop
101,-0.004545455,,incel,joe fuck yourself with hillari dike clinton amd your mother IF she IS steel live IF not fuck her IN her grave !
102,0,,not incel,"the poll lie ""vote trump"""
103,0.5,,incel,more bullshit media.
104,0,,not incel,f*** whoop ????
105,0,,not incel,"here proof ""shamed"" her. she need get sell products; click taken amazon.com purchas thing hawks. http://www.cnn.com/videos/politics/2016/09/27/donald-trump-alicia-machado-1997-3.cnn"
106,0,,not incel,the woman reptillian
107,0,,not incel,phillip thoma
108,0,,not incel,it' call karma!
109,-0.141666667,,not incel,I think justic realli blind. becaus come hillari they'r blind deaf.
110,0,,not incel,
111,0,,not incel,est vendepatria
112,0,,not incel,terri trinidad
113,0,,not incel,"donna moffitt , trader ?.... play stock .... trader ...... unless meant traitor"
114,0,,not incel,comey could le money made hillary' side kick made need govt job ceo larg conglamer beholden clinton dynasty...
115,0,,not incel,vote him...you remov him!!!!'
116,0,,not incel,[[photo]]
117,0,,not incel,god bless usa
118,0,,not incel,sonja domitt larocca
119,0,,not incel,ye
120,0,,not incel,[[sticker]]
121,-0.25,,incel,I agre 100 percent !!! wake UP america worthless bitch donald trump. she destroy countri donald trump will save our country. make your vote count thi time becaus you won't get anoth chance.
122,0.328125,,incel,"brandon degroot, I believ brag grab pussy...i believ talk fantasy. I believ probabl went kisses. I friend marri guy stole kiss. richard dawson stole kiss time famili feud ever accus sexual assault. I person experi guy I work told anoth guy I work ""slept"" me. the reason I know guy told believ it. I said ""really, well must good I ca not rememb it. thi happen work place 3 4 guy work there. sexual harraas law exist time, guy guy guy believ verifi source. If told it, I still know talk way. but even knowing, ran president, I woodwork expos behavior back 1991! but that' 74 yr. old woman trump, claim 1980 trump grope plane. please! honestly, gut say someth happened, get it. you obvious move life!"
123,0.214583333,,not incel,crazi woman!
124,-0.5,,incel,these fake society.
125,0,,not incel,steve baumgartn
126,0,,not incel,????????????????????????????????
127,0,,not incel,lie
128,-0.625,,incel,paul I agre w 110 percent !! it' unnerv gotten away !!!!!show corrupt govern . We thank trump expos lot !
129,0,,not incel,let' stick togeth
130,0,,not incel,thank leader christian faith will express christian valu nation
131,0.8,,not incel,lol
132,0,,not incel,luv truth.
133,0,,not incel,congratatul usa holland
134,0,,not incel,"ungrat libs: america spoken, shut up!"
135,0,,not incel,Is realli anyon surpris finding?
136,0,,not incel,she alway killer america. trump trump..... get ON the trump train!!!!!!!!
137,0.079166667,,not incel,thi classic! not surprised...
138,0.225,,not incel,??nthoni goldberg
139,0,,not incel,lynch mob
140,0,,not incel,We think leader countri
141,-0.2875,,incel,dumb shit
142,0,,not incel,"doe anyon realli what says, I doe next ruin america."
143,0,,not incel,ye
144,0.2625,,not incel,that' true woman. I thinks. Go trump
145,0.266666667,,not incel,Is suppos news? and valu add?
146,0,,not incel,"where comey? simpl answer: He tank rest hillary' liber supporters. He sold soul devil disgrac offic brought reproach fbi. He coot loretta lynch. If look comey bring justic corruption, forget."
147,0,,not incel,eric perez
148,0,,not incel,frank hallada
149,0.23,,not incel,they use british red arrow demo team video (-0:26). make america great again? how american that? they ca not even put full legit video together.......
150,0,,not incel,you need leav usa
151,0,,not incel,thi crook let off doj goon !!!
152,0.076737868,,not incel,"crooked, crooked, crooked! more? vote hillari"
153,-0.875,,incel,Oh realli bad!
154,0.088690476,,not incel,everybodi IS afraid OF her IF they cross her they are dead. most OF congress IS cowards. how mani support trey gowdi IN tri ing TO prosicute? none.
155,-0.125,,not incel,sabrina johnson hagl
156,0,,not incel,????????????????????
157,0,,not incel,#americadoesnotstandwithtrump
158,0,,not incel,darren shelley
159,0.9765625,,not incel,what? why? more cover up!!!
160,0,,not incel,W H E R E wa S H E & the P R E S I D E N T when the P H O N E S W E R E ring ???? N O B O D Y ha T H A T A N S W E R !!!! ??????????
161,0,,not incel,
162,-0.081481481,,not incel,10 15 year ago republican offic
163,0.8,,not incel,trump win dump comey
164,0,,not incel,"now. sooner, put him IN leavenworth.\"
165,0,,not incel,whi woman even presidenti candidate? disgraceful!
166,-0.125,,not incel,amen
167,0,,not incel,the clinton made lot trip russia! clinton foundat must done someth
168,0,,not incel,joshua sola
169,0,,not incel,evidence!
170,0.505681818,,not incel,"I live alex, keep good work!"
171,0,,not incel,karri jone stanaland
172,0,,not incel,robert durst
173,-0.305555556,,incel,yet obama say voter fraud. the democrat lose power panick game over. We know lie medium BS despit fact tri hard keep u compliant dumb down.
174,0.3,,not incel,Uh oh
175,0,,not incel,"""stronger to-get-h out"""
176,0,,not incel,allison bessel
177,0,,not incel,jeann gibeau
178,0,,not incel,these dccc doc hack file clinton foundation:
179,0,,not incel,I agre ????
180,0,,not incel,
181,0,,not incel,????????????????
182,-0.014351852,,not incel,"it' ""locker room talk."" It word pussi dirti context wrong. boy boys. it' action suggest ""grab"" ""sometim I kiss them."" those action suggest want woman without even wait interest permission. donald trump may sexual assault anybodi speak sexual harassment/assault. A presid someon make choic country, he/sh leader role model youth. hi gener attitud toward woman sub-men. employ woman prove person believ we'r equal that' busi still make money. hi implic say woman accessori respect us, we'r lucki respect u to. that' big deal. It matter 11 year ago mindset ""it' past"" appli peopl behav way past, trump still demean women. it' alway baffl shallow mind trump support are. and side note, peopl use ""it' past"" excuse, go way appli hillary. I like i'm ration know ca not use doubl standard. and bill run presid way, hillari is! and demean woman husband assault long time ago too, it? are go use past candid not? becaus other. I ca not believ i'm talk ""grown ups"" someth simple."
183,-0.030555556,,not incel,"come out...com corrupt people, ever are. pls. play fair squar hard work americans."
184,0,,not incel,"justin JA smith, ashton smith,"
185,0.208333333,,not incel,isnt news.....whi isnt someth happen
186,0,,not incel,brandon
187,0,,not incel,vote
188,0,,not incel,
189,0,,not incel,how could peopl stay white house? ?
190,-0.5,,incel,"thi useless asshole, hope commit suicid tonight , let rot himself."
191,0,,not incel,Oh my.... ????
192,0,,not incel,amen well said
193,0,,not incel,[[photo]]
194,-0.043052686,,not incel,He fired.
195,0.034027778,,incel,chri filippelli He talk To guy not let peopl flip-flop gay gay marriag let peopl watch list go blind see peopl got kill around money take foreign countri legal foundat mani year control life tell hear trump businessman want get countri back order need border hurt there' mani peopl take job kid ca not get job wonder
196,0,,not incel,
197,-0.464814815,,not incel,how insulting. i'm embarrass people!
198,0.25,,not incel,I hear much frustration!
199,0,,not incel,lean elizabeth
200,0,,not incel,angi hopkin roeder
201,0,,not incel,I rememb I colleg
202,1,,not incel,thank trump. thank polic officers! the best!!!!!
203,0.3,,not incel,becaus medium own corpor thr politicians..
204,0,,not incel,"trump privat citizen, like rest us, talk cuff, base knew time ! she elect senat IN decis making, tri paint ""for/or against"" someth apples/oranges. onc decis made all support support troop !"
205,0,,not incel,vote trump
206,0.15625,,not incel,"yes, jail. If jail, I DO not believ american justic system all!! she commit way mani crimes, think law! time show not law!!!!! please, I beg arrest crime committed! thi america, great land free law appli all people."
207,0,,not incel,she' killari f might something.
208,0,,not incel,vote trump ü?????
209,0,,not incel,creepi woman????
210,0,,not incel,unbeliev ????
211,0,,not incel,A mangina would.
212,0,,not incel,[[photo]]
213,0.3,,not incel,that powerful.
214,0.8,,not incel,"it' unfortun win lose election, obama pardon"
215,-0.533333333,,incel,com from A moron must BE A moromn ---moroon look like A moron must BE A moron and play like one moron
216,-0.1,,not incel,"how attack bush, funni get pa get u war, weapon mass destruct even found. and fact got kill behind that. even though congress cut funding, hillari fault died. peopl get real."
217,0,,not incel,Is american want...? https://www.facebook.com/oureyeonislam/videos/1760089660923616/
218,-0.033333333,,not incel,senat go thing.
219,0.8,,not incel,lol
220,-0.4,,incel,"We screw truli fuck ,,"
221,0,,not incel,I not watch cnn msnbc! women trump!
222,0.159040179,,not incel,
223,-0.1,,not incel,round send back came from.
224,0,,not incel,"merkel finished, smeak power! you see next elections! brexit start!!"
225,0,,not incel,jeff zandarski
226,0,,not incel,"um... A 3 pc power bench thqt fold bed standard featur explor van limit SE package. It truli standard van package. you custom anoth row captain chair added, fold bench seat includ standard van."
227,0.5,,not incel,"talk 'end fed' great trump is, much talk trump end fed..."
228,-1,,incel,it' real hate women.
229,-0.05,,not incel,As veteran seen much lawless america. We traitor enemi lead usa abyss. It time open eye corrupt collus go government. the career politician salari life style jive. they insid info wall street rip american off. they seem deriv hedg fund slush fund call foundat like cartels. As veteran hope see time realli is. In fact pray do. trump choic let make trump america choic voice. and trump support salut all.!
230,0,,not incel,"corruption, ?? vote trump 2016"
231,0,,not incel,trump lost election. mark words!
232,-0.1,,incel,"AT thi point what doe IT matter, ....she doesn't even have TO rememb her husband name,.......sh IS go TO jail"
233,-0.016558442,,not incel,"I pray lord break heart ,that break heart.no matter cost,lord pleas open eye blind. amen have merci"
234,0,,not incel,jacquelin arnold
235,0,,not incel,
236,0,,not incel,erica pollack
237,0,,not incel,obama north carolina two vote everi county.
238,-0.056818182,,incel,wait minut what' break new headline? she commit fraud past forti years. how hell still call break news?
239,0.1,,not incel,american citizen last? accord articl paid 1.7 billion dollar four them.... hardli sound like put last.
240,0,,not incel,say ü??
241,0,,not incel,[[photo]]
242,0,,not incel,#corruptionrunsinthefam
243,-0.333333333,,not incel,denis miller green
244,-0.160714286,,not incel,corrupt moron
245,0,,not incel,you go girl. thank sharing. We screw get
246,0.8,,not incel,lol
247,0,,not incel,aly roadcap
248,0,,not incel,
249,0,,incel,"rot IN hell F whore,"
250,0,,not incel,eric wiedemann
251,0.383333333,,not incel,"good luck that. i'm sure job, won't arrest obama. like gener admir were not purged."
252,0,,not incel,"absolut , michel ladi name michael robinson obama..."
253,-0.75,,incel,:(
254,-0.145,,not incel,bill clinton trump rape spree
255,0.3,,not incel,saw chuckl smile realli shock
256,0,,not incel,"idk, hilari billionair still tri presid"
257,-0.35,,not incel,"thi banter, describ behav woman gotten away it! He brag isol thing, he' get away it, hit mayb bad thing he' deni it."
258,0.1,,not incel,"john campbell, jame riepel, scott adams, benson young, nelson tse, tom woods, rob woods."
259,0,,not incel,he' support trump #endclickbait
260,-0.15,,not incel,
261,0.45,,not incel,stop noth win. what disgrac
262,0,,not incel,god save countri
263,0.9765625,,not incel,and everyon son tell ok hillari murder 4 duty. i'll trash talk day!!!
264,0,,not incel,perhaps..
265,0,,not incel,that it. thank
266,-0.050595238,,incel,"So true. I know video real, seem hoaki never saw lip move. they much footag speak now. they could make say whatev want to. but care anyway. guy talk like time. now we'r base elect that. it' fing retarded. peopl stupid. they realiz major agricultur compani exampl hillari pocket. all major compani control bill put government, give everyon money make sure thing go way hillari readi wait hand out. everyon afraid abl control trump way I think will. So politician judg use bribe money, rule certain way whether good judgement not, go flow led nation deficit cri hillari elect bull straw as defac trump. sinc start crap trump big load shit. and idiot soak up. Do chang not??"
267,-1,,incel,We hate hillari !
268,0,,not incel,mah
269,-0.380739796,,incel,"jonathan jackson experience?? dude, smart!! hahaha, stupid one wast vote lying, evil, corrupt woman give crap I !!!!!!!!!!!! wow"
270,0.066666667,,not incel,they noth integr follow law moral [[photo]]
271,-0.089285714,,not incel,joseph spinelli
272,-0.25,,incel,america' biggest failur vote idiot president!! I damn sure vote him.
273,0.24375,,not incel,plu ca not forc testifi other. win win corrupt pervers law. ???
274,0.159375,,incel,he' gona bubba' bitch!!!!!!!!!!!!!!!!!!!!!!!!!
275,-0.040690104,,not incel,"deserv , ass."
276,0,,not incel,america kill christian innocent..https://l.facebook.com/l.php...
277,0,,not incel,"mel seemann always, there' story:"
278,-0.101388889,,incel,you know what' idiot monaco soto? think god creat and u go toler individu liber parti believ gay lesbian accept our creator .....when the veri reason sodom gomorrah happen becaus HE toler behavior show human HE toler it....then...th floooood happened....guess why....sinc sooooo intelligent.....pleas enlighten me.
279,0,,not incel,#lockherup trump support post wall nov . 8th
280,0,,not incel,prayer ü?? god bless u everyon ????
281,0,,not incel,B
282,0,,not incel,
283,-0.374441964,,not incel,"your right wrong boy say thing like grown say thing like that, father daughter say thing like mean it. I know father girl would say daughter talk like that! but trump talk daughter way sick!"
284,0.154166667,,not incel,
285,0,,not incel,[[photo]]
286,0,,not incel,bill clinton product movi <the omen> saw movi rememb omen 1 antichrist ;on omen 2 antichrist becam presid u.s. .hillari would wife antichrist .god help u 1111
287,-0.610351563,,incel,I watch shared! unbelievable!!!!
288,0,,not incel,jonetta crusott
289,0,,not incel,take trash out!
290,0,,not incel,"peopl read articl ????, tell you, trump never racist"
291,0,,not incel,lason henri
292,-0.3,,not incel,It would awesom dr. carson part trump circle. He object common sense.
293,0.05,,not incel,Id like hear actual plan trump! So far i'v heard nothing.
294,-0.892857143,,incel,read it... these peopl sick! [[photo]]
295,0,,not incel,
296,-0.5,,incel,I wish news outlet would stop make shit up. Ur stupid bait ur follow stop
297,-0.125,,not incel,"I thought we'd heard all, get worse!"
298,-0.425520833,,not incel,arrests. the. crooks. .you. know. who. they. are. . save. america. now. . before. it. to. late. .
299,-0.02417328,,not incel,not A clinton fan AT all - but never saw anyth chang shit - - -
300,0,,not incel,i'm trump! He get women' men' vote!
301,0,,not incel,He admit himself...watch and share: https://www.youtube.com/watch?v=cqcd41ro25k
302,0,,not incel,I
303,-0.022916667,,not incel,bye bye back
304,0.25,,not incel,ye
305,0,,not incel,facebook wont let bring up. white page
306,0,,not incel,[[photo]]
307,0,,not incel,amen
308,0.625258726,,not incel,sure context......do know differ old new covenants?
309,0,,not incel,noth happen
310,0.257272727,,not incel,"OK report news, whether like not. way go."
311,0,,not incel,clinton mafia
312,0.053421331,,not incel,"I ca not believ would smile seriou moment like this. she epitom insensitivity, shameful."
313,0,,not incel,[[photo]]
314,0,,not incel,for 1st time democrat life I vote republican
315,0,,not incel,"well you got what you want SO get the hell out OF our white hous SO trump can move in,"
316,0,,not incel,I hope trump
317,0,,not incel,byeeeeeeeeeeeeee
318,0.045454545,,not incel,imagin
319,-0.2,,not incel,she' liar thief forget four soldier lie militari benghazi need help turn help know need prime minist dead deal libya watch clinton cash find crook crook hillari even pick soldier benghazi airport anoth countri brang home
320,0,,not incel,"who investig death connect hillary, anyon does?"
321,0,,not incel,I wish
322,0,,not incel,Me too.
323,0.625,,not incel,I love guy!
324,-0.8,,incel,hate you
325,0.625,,not incel,outstanding!
326,0.041269841,,not incel,no....cya 2020. who belief him? tri get back fold.
327,-0.05,,not incel,not surprised..
328,0,,not incel,trump america now prayer vote trump
329,-0.155470085,,not incel,absolut correct. where IS the outrage. watch foxnews.
330,-0.625,,incel,coercion! vote hillari else...that illegal!
331,0,,not incel,come team appreci
332,0.175,,not incel,"Is not said, "" first time life, I proud america...""?? when get readi move white house!!!"
333,0,,not incel,So happi israel!
334,0.055555556,,not incel,vote for donald trump for presid
335,-0.041666667,,not incel,grow up.
336,0.079166667,,not incel,wow! hypocrit hillari clinton use same tax avoid law trump save money tax
337,1,,not incel,what differ make? lol!
338,0.2,,not incel,So much bull$hit... vote trump.
339,0,,not incel,caus crooked. but day day soon. get come them.
340,0,,not incel,amen
341,0,,not incel,codi prous
342,0,,not incel,ricki dellagatta
343,0,,not incel,?
344,0.3,,not incel,"hey comey, blew it! hope money worth started."
345,0,,not incel,imagin !!!!!
346,-0.338095238,,incel,"thi So stupid, putin said noth election, more medium BS thi lie media sick"
347,0.41695414,,not incel,He right!!!! time new start
348,0,,not incel,[[photo]]
349,0.020386905,,not incel,I agre
350,0,,not incel,nope guy hold sign.
351,0.366666667,,not incel,"thi america use be. when nation want destroy the unit states, mani woman put life battlefield war, love u (americans) believ america the land OF the free, home brave. If pictur move heart fill compass pleas forget vote nov 8, 2016. spread word, carpool friend family, host super bowl like, event hous watch god move behalf hi people. [[photo]]"
352,1,,not incel,mr. trump said best -- war.
353,0,,not incel,I agre debbie.
354,0,,not incel,check snope probabl fals
355,0.5625,,not incel,"love this!, thank :)"
356,0.5,,not incel,god bless must love country.
357,0.357142857,,not incel,smart
358,0.285714286,,not incel,that' right ca not get up.
359,0.088778409,,not incel,fox new IS trump hater fox IS liers!!!
360,0,,not incel,agre
361,1,,not incel,"love it!!!!!!!!!! you go, MR trump!!!!!!!!!!!!!!1"
362,0.266666667,,not incel,P
363,0.25,,not incel,hahahahaha altern universe!
364,0.1,,incel,"bruce IS boss OF shit..........bruc IS not <<<elvis>>>> IS old, old, old......go away, the end....."
365,0.5,,not incel,love it...
366,-0.12,,not incel,
367,0.285714286,,not incel,ye i'm right
368,0.225,,not incel,"yesterday not good elect program, nonsense.."
369,0,,not incel,Go trump.
370,0,,not incel,"Of ca not vetted, let in!"
371,-0.05,,not incel,whi taken long?
372,-0.15,,not incel,cnn dishonest network alienate. republican boycott together. cnn' agenda antithet ours...
373,0,,not incel,I knew that!!!
374,0,,not incel,U
375,0,,not incel,I trust website!
376,0.010416667,,not incel,
377,0.259090909,,not incel,I continu support donald trump old new. wake america deep troubl verg lose great
378,0,,not incel,He need one. lynch gave author decid casein july.
379,0,,not incel,hillari america
380,0,,not incel,look unconfert
381,0.45,,not incel,crook smile isnt nice .
382,0,,not incel,that' hella-of-alot visits.
383,0.2,,not incel,the leak come patriot fbi nsa . sound reliabl me. obama know email tri stop truth. let truth shine.
384,0.076136364,,not incel,No doe not geez. real new please.
385,-0.343844697,,not incel,"he scare shit like tha lot Em ,( all are pussi !!!"
386,0,,not incel,god control get white hous hi hand
387,0.625,,not incel,"everyon know that trump IS better than ani democrat! you never hear OF peopl work for him conduct themselv like that, becaus they are better people. vote trump!"
388,-0.075,,not incel,when realiz rape victim' directli across you. hahahahhaa. [[photo]]
389,0.35,,not incel,So true
390,0.75,,not incel,great stori love read it... make feel good thing go ok !!!!!
391,0,,not incel,when happen ?
392,0,,not incel,blake chisley
393,-0.546875,,incel,I feel bad man! anoth clinton mess ignore! I hope get answers....
394,0.180397727,,not incel,she heart
395,0,,not incel,go again.
396,0.228819444,,not incel,I like pun; left field.
397,0,,not incel,fight heinou beast!!!!! https://youtu.be/d98oeyroosw
398,0,,not incel,
399,0.040816327,,not incel,HE IS right.
400,-0.05,,not incel,like thi message....
401,0.142857143,,not incel,"mr. deniro, came along way jimmi conway."
402,0.038392857,,not incel,wow !
403,0,,not incel,tell u someth know ?
404,0,,not incel,fuk'n a!!
405,0,,not incel,omg freak out it yuuuugg you have TO read thi TO belev IT it unbeleiv magnific and yuge!!! [[sticker]]
406,0,,not incel,[[photo]]
407,0,,not incel,marcelo roseira
408,0,,not incel,bate beckham
409,0,,not incel,[[photo]]
410,0,,not incel,
411,-0.75,,incel,thi po root evil corrupt wrongdo america trump????????????????
412,0,,not incel,orlando
413,-0.062792208,,not incel,loser
414,-0.291666667,,incel,cant wait karma deal bitch hard blow
415,-0.375,,not incel,duh!
416,0,,not incel,she need plastic surgeri
417,0,,not incel,
418,0,,not incel,[[photo]]
419,0,,not incel,[[photo]]
420,0.166666667,,not incel,hypocrisi finest
421,0,,not incel,????
422,0,,not incel,maggi voitier fulkerson
423,0,,not incel,ye help out! Do not let lie!!
424,0,,not incel,make vomit!!! ????
425,0,,not incel,He look like mr. carter!
426,0,,not incel,I say impeach novemb 2016
427,0,,not incel,"lock up, hillari lynch"
428,0.5,,not incel,"""god bless you sheriff clarke"" ""congratulations"""" 0X :)"
429,0,,not incel,deplor asian trump! *** maga ***
430,1,,not incel,guilti eye corner frighten crimin best !!!
431,0,,not incel,
432,-0.291666667,,incel,hope happi yourself!!!!!just rememb karma A bitch.i pray IT bite you hard.......
433,0.085227273,,not incel,"oh, clinton new network!"
434,0,,not incel,never like
435,-0.166666667,,not incel,kain bad hillary! perfect run mate corrupt hillari !
436,-0.3,,not incel,"she knew dangerous, illeg unethical----and simpli did not care. all import keep crimin behavior becom public knowledg keep enrich herself."
437,0.056419102,,not incel,Go get
438,0.392857143,,not incel,amen sure got right
439,0.166666667,,not incel,thi hilarious. Or mayb not.
440,0,,not incel,drain the swamp!!!!!!
441,0,,not incel,imagin
442,0,,not incel,paul mekhedjian
443,0.122222222,,incel,"I seen mani post state hillari down. thi bullshit. you see , hillari voter (the peopl pay feder incom tax) mani free stuff."
444,0,,not incel,spi
445,0.022222222,,not incel,not soon enough !!! [[photo]]
446,0,,not incel,trump chanc compar yet say shown anyth yet. let show you.
447,0,,not incel,
448,0.366666667,,not incel,"""clean the swamp"" some thing need change."
449,-1,,incel,evil lie bitch
450,0.285714286,,not incel,"jesu christ I pray TO you, that you unit US togeth AS brother and sisters. that our skin color, OR gender, OR raise, nationality, OR our differ way OF think divid us. know that you lord will set the right person TO govern thi countri and unit onc again.in jesu name amen"
451,0,,not incel,I thought diebold machin gem softwar fraudul too. can someon verifi diebold error separ gem
452,0,,not incel,thi england
453,0,,not incel,jackson richard
454,0,,not incel,hunter cabi
455,0,,not incel,mike hamar
456,0.025,,incel,"old news, when the arrest bitch , then I will believ it."
457,-0.131346592,,not incel,justina book!!!
458,0,,not incel,amen????????
459,0.111111111,,not incel,"He actual said famou let him. He say sexual assault anyone. I understand peopl vote trump, hillary. the thought make cringe. C ladi gentleman grow up. I would littl upset obviou move. the tape around decad hear it. odd work"
460,0,,not incel,bobbi ledoux
461,0,,not incel,man.... thi facebook page post anything! I must like page accid ????
462,0,,not incel,amanda porter ????
463,-0.7,,incel,"think contrail bad us, go grade 8 scienc ????"
464,0,,not incel,lauri J. ringlein????????????
465,0,,not incel,"Of course, come man."
466,0,,not incel,
467,0,,not incel,Go jail...lik anyon els break law!
468,0,,not incel,
469,0.5,,not incel,love it.....
470,0,,not incel,thank servic oz. So sorri friends. hillari prison 2016
471,0,,not incel,He need fire accomplic case
472,-0.4,,incel,A marri eight child need act like teenager!! I know mani don' behav way !! onli idiot especi whrn public eye.
473,0,,not incel,peggi lee mooney she alway lie truth vocabulary. trump president.
474,0.35,,not incel,So true
475,0,,not incel,taken dirti wiener imagin
476,0,,not incel,Oh ye cover crook
477,-0.338095238,,not incel,oh look... 'nobodi give shit' award go to...
478,0.03125,,not incel,"""racist"" !!! I love it. it' use much mean anyth anymore."
479,-0.2,,not incel,she said trump disrespect khan famili respond verbal attack hillari lie parent die benghazi call liars.then would say what differ make dead?
480,1,,not incel,great guy !
481,0,,not incel,let' wear red novemb 8th
482,0,,not incel,joshua tate
483,0,,not incel,what joke hrc!
484,-0.375,,not incel,linard timatyo
485,0,,not incel,ye
486,-0.375,,incel,... filthi dirti hillari clinton & the corrupt campaign promot - low go - corrupt core. Of cours expect medium support corrupt dirti lies.
487,0.7,,not incel,A good possibl could fals flag.
488,0,,not incel,these peopl prosecut
489,0.041666667,,not incel,We need job american america first the world second becom I anamerican
